,predict_cause,real_cause,row,col,cost_time
case40_1116_2399994722,"[[(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0), ('line', 5.0))], [(('coderate', 2000.0), ('p2p', 0.0))], [(('coderate', 2000.0),)], [(('line', 5.0), ('p2p', 0.0))]]","{'line': 5, 'p2p': 0, 'coderate': 2000}",19,3,0.132659
case41_1128_1394565189,"[[(('p2p', 0.0),)], [(('line', 5.0), ('p2p', 0.0))], [(('line', 5.0),)], [(('line', 3.0), ('p2p', 1.0)), (('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))]]","{'line': 5, 'p2p': 0}",30,3,0.348072
case42_1128_99615733,"[[(('coderate', 500.0),)], [(('coderate', 500.0), ('p2p', 1.0))], [(('coderate', 500.0), ('line', 5.0))], [(('coderate', 500.0), ('p2p', 1.0)), (('coderate', 1200.0), ('p2p', 1.0))], [(('coderate', 1200.0), ('p2p', 1.0)), (('coderate', 500.0), ('p2p', 0.0))]]",{'coderate': 500},19,3,0.285238
case43_1130_1524418059,"[[(('p2p', 0.0),)], [(('coderate', 0.0),), (('coderate', 1200.0),)], [(('coderate', 0.0), ('p2p', 0.0)), (('coderate', 1200.0), ('p2p', 1.0))], [(('coderate', 0.0), ('p2p', 0.0))], [(('coderate', 0.0),)]]",{'p2p': 0},21,3,0.289225
case44_1203_1394565189,"[[(('line', 3.0), ('p2p', 1.0)), (('line', 5.0), ('p2p', 0.0))], [(('line', 5.0), ('p2p', 0.0))], [(('line', 5.0),), (('line', 3.0),)], [(('line', 5.0),)], [(('coderate', 500.0),), (('coderate', 2000.0),)]]","{'line': 5, 'p2p': 0}",26,3,0.331113
case45_1204_1394565191,"[[(('coderate', 1200.0), ('p2p', 0.0))], [(('p2p', 0.0),)], [(('coderate', 1200.0), ('p2p', 0.0)), (('coderate', 2000.0), ('p2p', 1.0))], [(('coderate', 1200.0),)], [(('coderate', 1200.0), ('line', 5.0), ('p2p', 0.0))]]","{'coderate': 1200, 'p2p': 0, 'line': 5}",30,3,0.295209
case46_1204_2227875499,"[[(('coderate', 4000.0),)], [(('coderate', 4000.0), ('p2p', 1.0))], [(('coderate', 4000.0), ('line', 8.0))], [(('coderate', 4000.0), ('line', 8.0), ('p2p', 1.0))], [(('p2p', 1.0),)]]",{'coderate': 4000},59,3,0.33311
case47_1205_1423787837,"[[(('p2p', 1.0),)], [(('coderate', 1200.0), ('p2p', 1.0))], [(('line', 3.0), ('p2p', 1.0))], [(('coderate', 2000.0), ('p2p', 0.0)), (('coderate', 1200.0), ('p2p', 1.0))], [(('coderate', 1200.0),)]]","{'coderate': 1200, 'p2p': 1}",13,3,0.259307
case48_1205_2294432,"[[(('coderate', 500.0),), (('coderate', 2000.0),), (('coderate', 0.0),)], [(('coderate', 500.0),), (('coderate', 2000.0),)], [(('coderate', 2000.0),), (('coderate', 0.0),)], [(('coderate', 500.0),), (('coderate', 0.0),)], [(('coderate', 2000.0),)]]","[{'coderate': 500}, {'coderate': 2000}]",29,3,0.37001
case49_1205_1849387251,"[[(('p2p', 1.0),)], [(('coderate', 2000.0), ('p2p', 0.0)), (('coderate', 4000.0), ('p2p', 1.0))], [(('coderate', 4000.0),)], [(('coderate', 4000.0), ('p2p', 1.0))], [(('line', 6.0), ('p2p', 1.0))]]","{'coderate': 4000, 'p2p': 1}",30,3,0.346038
case50_0215_367138632,"[[(('coderate', 4500),)], [(('coderate', 4500), ('line', 3))], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500), ('platform', 'C1'))], [(('platform', 'C1'),)]]",{'coderate': 4500},127,4,0.804833
case51_0215_367138632,"[[(('coderate', 4500),)], [(('coderate', 4500), ('line', 3))], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500), ('platform', 'C1'))], [(('coderate', 4500), ('p2p', 1)), (('coderate', 500), ('p2p', 1))]]",{'coderate': 4500},116,4,1.026274
case52_0215_367138632,"[[(('coderate', 2500), ('line', 3)), (('coderate', 2500), ('line', 5))], [(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 3))], [(('coderate', 2500), ('platform', 'C1'))]]",{'coderate': 2500},131,4,0.809834
case53_0215_367138632,"[[(('coderate', 4500),)], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500), ('p2p', 1)), (('coderate', 2500), ('p2p', 1))], [(('coderate', 4500),), (('coderate', 2500),)], [(('coderate', 4500), ('line', 3), ('p2p', 1))]]",{'coderate': 4500},114,4,1.059169
case55_0215_1861606916,"[[(('kb_gameid', 3203), ('line', 7), ('p2p', 0))], [(('kb_platform', 'pc_exe_template'), ('line', 7), ('p2p', 0))], [(('line', 7), ('p2p', 0))], [(('kb_gameid', 3203), ('kb_platform', 'pc_exe_template'), ('p2p', 0))], [(('kb_platform', 'pc_exe_template'), ('p2p', 0))]]","{'line': 7, 'p2p': 0}",570,7,6.887578
case56_0216_367138632,"[[(('coderate', 2500),), (('coderate', 500),)], [(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('line', 3), ('p2p', 1))], [(('coderate', 2500), ('line', 3), ('p2p', 1))]]","[{'coderate': 500}, {'coderate': 2500}]",134,4,1.152915
case57_0217_1861508076,"[[(('coderate', 4500),)], [(('coderate', 4500), ('line', 8))], [(('coderate', 4500), ('platform', 'C1'))], [(('coderate', 4500), ('p2p', 1))], [(('line', 8),)]]",{'coderate': 4500},112,4,0.742052
case58_0218_1272997391,"[[(('coderate', 2500), ('isp', '联通'), ('line', 5))], [(('coderate', 2500), ('isp', '联通'))], [(('coderate', 2500), ('line', 5))], [(('isp', '联通'), ('line', 5))], [(('p2p', 0),)]]","{'isp': '联通', 'line': 5, 'coderate': 2500}",96,4,0.502657
case59_0225_2272316519,"[[(('coderate', 500),)], [(('coderate', 500),), (('coderate', 2500),)], [(('coderate', 500), ('line', 5))], [(('coderate', 500), ('platform', 'C1'))], [(('coderate', 500), ('p2p', 1))]]",{'coderate': 500},87,4,0.908567
case60_0302_1050502887,"[[(('coderate', 2500), ('p2p', 0)), (('coderate', 500), ('p2p', 0))], [(('coderate', 4000), ('p2p', 0)), (('coderate', 2500), ('p2p', 0)), (('coderate', 500), ('p2p', 0))], [(('coderate', 500), ('line', 3))], [(('coderate', 500), ('line', 3), ('p2p', 0))], [(('coderate', 500), ('line', 3)), (('coderate', 4000), ('line', 5))]]","{'line': 3, 'coderate': 500, 'p2p': 0}",44,4,0.77295
case63_0308_170903641,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 5), ('p2p', 1))]]",{'coderate': 2500},105,4,0.74198
case64_0317_1116857,"[[(('coderate', 0), ('p2p', 0))], [(('coderate', 0),)], [(('p2p', 0),)], [(('coderate', 0), ('p2p', 0), ('platform', 'C1'))], [(('coderate', 0), ('platform', 'C1'))]]",{'coderate': 0},69,4,0.746005
case65_0316_2185256980,"[[(('p2p', 1),)], [(('p2p', 1), ('platform', 'C5')), (('p2p', 1), ('platform', 'C1'))], [(('p2p', 1), ('platform', 'C1'))], [(('platform', 'C3'),), (('platform', 'C1'),)], [(('platform', 'C1'),)]]","[{'coderate': 500}, {'coderate': 2500}]",106,4,1.067181
case66_0318_1423787827,"[[(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000),)], [(('p2p', 1),)], [(('coderate', 4000), ('p2p', 1), ('platform', 'C1'))], [(('coderate', 4000), ('platform', 'C1'))]]","{'p2p': 1, 'coderate': 4000}",46,4,0.442815
case69_0320_2276840736,"[[(('coderate', 500), ('line', 5), ('p2p', 0)), (('coderate', 2500), ('line', 5), ('p2p', 0))], [(('line', 5), ('p2p', 0))], [(('line', 5),)], [(('line', 3), ('p2p', 1)), (('line', 5), ('p2p', 0))], [(('platform', 'C3'),), (('platform', 'C1'),)]]","[{'line': 5, 'p2p': 0, 'coderate': 500}, {'line': 5, 'p2p': 0, 'coderate': 2500}]",59,4,0.809832
case70_0324_1199512718563,"[[(('coderate', 2500),)], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 5), ('p2p', 1))]]",{'coderate': 2500},100,4,0.958432
case71_0324_1714649353,"[[(('coderate', 4500),)], [(('coderate', 4500), ('line', 8))], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500),), (('coderate', 2500),)], [(('coderate', 4500), ('p2p', 1)), (('coderate', 2500), ('p2p', 0))]]",{'coderate': 4500},96,4,0.98337
case72_0324_1714649353,"[[(('coderate', 2500),), (('coderate', 4500),)], [(('coderate', 2500),)], [(('coderate', 2500),), (('coderate', 8000),), (('coderate', 4500),)], [(('platform', 'C3'),), (('platform', 'C1'),)], [(('coderate', 2500), ('p2p', 1))]]","[{'coderate': 4500}, {'coderate': 2500}]",113,4,1.208728
case73_0324_1714649353,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 8))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 8), ('p2p', 1))]]",{'coderate': 2500},130,4,0.884636
case74_0324_1714649353,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 8))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 8), ('p2p', 1))]]",{'coderate': 2500},130,4,0.824794
case75_0324_1714649353,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 8))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('p2p', 1), ('platform', 'C1'))]]",{'coderate': 2500},142,4,1.08809
case76_0324_1714649353,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 500), ('line', 5)), (('coderate', 2500), ('line', 8))], [(('coderate', 2500), ('line', 8))], [(('coderate', 500), ('p2p', 1)), (('coderate', 2500), ('p2p', 0))]]",{'coderate': 2500},136,4,1.14996
case77_0324_1714649353,"[[(('coderate', 2500),)], [(('coderate', 2500), ('line', 8))], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 8), ('p2p', 1))]]",{'coderate': 2500},136,4,0.867683
case78_0324_1714649353,"[[(('coderate', 4500),)], [(('coderate', 4500),), (('coderate', 2500),)], [(('coderate', 4500), ('line', 8))], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 2500), ('line', 8)), (('coderate', 4500), ('line', 8))]]",{'coderate': 4500},135,4,1.171867
case79_0420_1108152524,"[[(('coderate', 4500),)], [(('coderate', 4500), ('platform', 'C1')), (('coderate', 4500), ('platform', 'C2'))], [(('coderate', 4500), ('platform', 'C1'))], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500), ('p2p', 1), ('platform', 'C1'))]]",{'coderate': 4500},286,5,2.439477
case80_0420_1423787852,"[[(('coderate', 500),)], [(('coderate', 500), ('line', 3))], [(('coderate', 500), ('p2p', 1))], [(('coderate', 500), ('platform', 'C1'))], [(('coderate', 500), ('line', 3), ('p2p', 1))]]",{'coderate': 500},142,5,1.811152
case81_0420_1524418081,"[[(('coderate', 500), ('platform', 'C1')), (('coderate', 500), ('platform', 'C3'))], [(('coderate', 500),)], [(('coderate', 500), ('platform', 'C1'))], [(('coderate', 500), ('p2p', 1))], [(('platform', 'C1'),)]]","{'coderate': 500, 'platform': 'C1'}",86,5,1.35737
case82_0420_1524418081,"[[(('coderate', 500), ('platform', 'C1')), (('coderate', 500), ('platform', 'C3'))], [(('coderate', 500), ('p2p', 1))], [(('coderate', 500),)], [(('coderate', 500), ('platform', 'C1'))], [(('platform', 'C1'),)]]","{'coderate': 500, 'platform': 'C1'}",85,5,1.330443
case83_0420_1524418081,"[[(('coderate', 500), ('platform', 'C1'))], [(('coderate', 500), ('p2p', 1), ('platform', 'C1'))], [(('coderate', 500), ('p2p', 1))], [(('coderate', 500),)], [(('p2p', 1), ('platform', 'C1'))]]","{'coderate': 500, 'platform': 'C1'}",86,5,1.474023
case84_0420_1524418081,"[[(('coderate', 500), ('p2p', 1))], [(('coderate', 500),)], [(('coderate', 500), ('p2p', 1), ('platform', 'C1'))], [(('coderate', 500), ('platform', 'C1'))], [(('p2p', 1),)]]","{'coderate': 500, 'platform': 'C1'}",81,5,1.329519
case85_0420_1423787852,"[[(('coderate', 500), ('platform', 'C1'))], [(('platform', 'C1'),)], [(('coderate', 500), ('p2p', 1), ('platform', 'C1'))], [(('platform', 'C2'),), (('platform', 'C1'),)], [(('p2p', 1), ('platform', 'C1'))]]","{'coderate': 500, 'platform': 'C1'}",122,5,1.616676
case86_0420_1423787852,"[[(('coderate', 500), ('platform', 'C1'))], [(('coderate', 3000), ('platform', 'C3')), (('coderate', 500), ('platform', 'C1'))], [(('platform', 'C1'),)], [(('coderate', 500), ('p2p', 1), ('platform', 'C1'))], [(('coderate', 500),)]]",{'coderate': 500},115,5,1.609696
case87_0420_170903641,"[[(('coderate', 2500),), (('coderate', 4500),)], [(('coderate', 2500),)], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('p2p', 1))], [(('platform', 'C1'),)]]","[{'coderate': 4500}, {'coderate': 2500}]",295,5,2.604002
case88_0420_170903641,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('line', 5), ('p2p', 1))], [(('coderate', 2500), ('platform', 'C1'))]]",{'coderate': 2500},297,5,1.970765
case89_0420_170903641,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500),), (('coderate', 4500),)], [(('coderate', 2500), ('platform', 'C1'))]]",{'coderate': 2500},303,5,2.641938
case90_0420_170903641,"[[(('coderate', 2500),)], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5), ('p2p', 1))], [(('coderate', 2500),), (('coderate', 500),)]]",{'coderate': 2500},296,5,2.537216
case91_0420_170903641,"[[(('coderate', 4500),)], [(('coderate', 4500), ('line', 5))], [(('coderate', 4500), ('p2p', 1)), (('coderate', 2500), ('p2p', 1))], [(('coderate', 4500),), (('coderate', 500),)], [(('coderate', 4500), ('p2p', 1))]]",{'coderate': 4500},302,5,2.606989
case92_0420_170903641,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 5), ('p2p', 1))]]",{'coderate': 2500},299,5,2.422522
case93_0420_170903641,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('line', 5), ('p2p', 1))], [(('coderate', 2500), ('platform', 'C1'))]]",{'coderate': 2500},302,5,1.929839
case94_0420_1356299405,"[[(('coderate', 2500),)], [(('coderate', 2500),), (('coderate', 4500),)], [(('coderate', 2500), ('platform', 'C1')), (('coderate', 4500), ('platform', 'C1'))], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('platform', 'C1'))]]","[{'coderate': 2500}, {'coderate': 4500}]",222,5,2.17821
case95_0420_1356299405,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('p2p', 1)), (('coderate', 4500), ('p2p', 1))], [(('coderate', 2500), ('platform', 'C1'))], [(('coderate', 2500), ('line', 7))]]",{'coderate': 2500},240,5,2.273883
case96_0420_2455525840,"[[(('line', 6), ('p2p', 0))], [(('line', 6),)], [(('p2p', 0),)], [(('coderate', 4000), ('line', 6), ('p2p', 0))], [(('isp', '电信'), ('line', 6), ('p2p', 0))]]","{'p2p': 0, 'line': 6}",280,5,2.414598
case97_0409_1199512718563,"[[(('coderate', 4500),)], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500), ('line', 5))], [(('coderate', 4500), ('line', 5), ('p2p', 1))], [(('line', 5), ('p2p', 1))]]",{'coderate': 4500},320,5,2.489307
case98_0409_1199512718563,"[[(('coderate', 4500),)], [(('coderate', 4500), ('line', 5))], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 4500), ('isp', '电信'))], [(('coderate', 4500), ('line', 5), ('p2p', 1))]]",{'coderate': 4500},330,5,2.114382
case99_0413_1703280244,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500),), (('coderate', 4500),)], [(('coderate', 2500), ('line', 3))], [(('coderate', 2500), ('platform', 'C1'))]]",{'coderate': 2500},215,5,2.166557
case100_0320_2276840736,"[[(('platform', 'C3'),), (('platform', 'C1'),)], [(('platform', 'C1'),)], [(('line', 5), ('platform', 'C3')), (('line', 5), ('platform', 'C1'))], [(('line', 5),)], [(('line', 5), ('platform', 'C1'))]]","{'line': 5, 'p2p': 0}",166,5,1.890942
case101_0320_1394565204,"[[(('line', 5), ('p2p', 0))], [(('line', 5),)], [(('coderate', 0), ('line', 5), ('p2p', 0))], [(('coderate', 0), ('line', 5))], [(('p2p', 0),)]]","{'line': 5, 'p2p': 0}",133,5,1.719403
case102_0320_3200269,"[[(('line', 7), ('p2p', 1))], [(('line', 7),)], [(('p2p', 1),)], [(('coderate', 2500), ('line', 7))], [(('coderate', 2500), ('line', 7), ('p2p', 1))]]","{'line': 7, 'p2p': 1}",279,5,2.254931
case103_0320_1524418085,"[[(('line', 5), ('p2p', 0))], [(('coderate', 0), ('line', 5)), (('coderate', 3000), ('line', 5))], [(('coderate', 0), ('line', 5), ('p2p', 0))], [(('coderate', 0), ('line', 5))], [(('coderate', 0), ('p2p', 0))]]","{'line': 5, 'p2p': 0}",152,5,1.643604
case104_0320_2217334379,"[[(('coderate', 2500), ('line', 7), ('p2p', 0))], [(('coderate', 2500), ('line', 7))], [(('coderate', 2500), ('p2p', 0))], [(('p2p', 0),)], [(('coderate', 2500), ('line', 7), ('platform', 'C2'))]]",{'p2p': 0},446,5,2.872346
case105_0320_518969542,"[[(('platform', 'C3'),), (('platform', 'C1'),)], [(('line', 5), ('p2p', 0), ('platform', 'C3')), (('line', 5), ('p2p', 0), ('platform', 'C1'))], [(('line', 5), ('p2p', 0))], [(('platform', 'C1'),)], [(('line', 5), ('p2p', 0), ('platform', 'C1'))]]","{'line': 5, 'p2p': 0}",571,5,3.683159
case107_0322_1199512718563,"[[(('coderate', 2500),)], [(('coderate', 2500), ('p2p', 1))], [(('coderate', 2500), ('line', 5))], [(('coderate', 2500), ('line', 5), ('p2p', 1))], [(('line', 5), ('p2p', 1))]]",{'coderate': 2500},344,5,2.633917
case108_0322_1199512718563,"[[(('coderate', 4500),)], [(('coderate', 4500), ('p2p', 1))], [(('coderate', 10000), ('line', 5)), (('coderate', 4500), ('line', 5))], [(('coderate', 4500), ('line', 5))], [(('coderate', 4500), ('line', 5), ('p2p', 1))]]",{'coderate': 4500},334,5,2.681864
20200530 120238 1067459140,"[[(('coderate', 4000),), (('coderate', 2000),)], [(('platform', 'adr'),)], [(('coderate', 4000),)], [(('p2p', 1), ('platform', 'adr'))], [(('coderate', 4000), ('line', 7))]]","[{'coderate': 4000}, {'coderate': 2000}]",644,5,4.255624
20200530 122658 2350069863,"[[(('coderate', 500),), (('coderate', 2000),)], [(('platform', 'adr'),)], [(('coderate', 2000), ('platform', 'adr')), (('coderate', 2000), ('platform', 'adr_tv'))], [(('p2p', 1), ('platform', 'adr'))], [(('coderate', 2000), ('platform', 'adr'))]]","[{'coderate': 500}, {'coderate': 2000}]",203,5,2.137285
20200530 134159 1346609715,"[[(('platform', 'adr'),)], [(('platform', 'adr'),), (('platform', 'ios'),)], [(('p2p', 1), ('platform', 'adr')), (('p2p', 1), ('platform', 'ios'))], [(('platform', 'adr'),), (('platform', 'adr_tv'),)], [(('p2p', 1), ('platform', 'adr'))]]","[{'platform': 'adr'}, {'platform': 'adr_tv'}]",1894,5,11.093335
20200530 145503 1346609715,"[[(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000), ('p2p', 1), ('platform', 'adr'))], [(('coderate', 4000), ('platform', 'adr'))], [(('p2p', 1), ('platform', 'adr'))]]",{'coderate': 4000},1746,5,9.117862
20200530 150338 1346609715,"[[(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1))], [(('coderate', 2000), ('p2p', 1)), (('coderate', 4000), ('p2p', 1))], [(('coderate', 4000), ('platform', 'adr'))], [(('coderate', 4000), ('p2p', 1), ('platform', 'adr'))]]",{'coderate': 4000},1838,5,10.117342
20200530 150746 1346609715,"[[(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1), ('platform', 'adr'))], [(('coderate', 4000), ('platform', 'adr'))], [(('p2p', 1),)]]",{'coderate': 4000},1867,5,10.030247
20200530 152258 1346609715,"[[(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000), ('isp', '电信'))], [(('p2p', 1),)], [(('coderate', 4000), ('line', 6))]]","[{'line': 3}, {'line': 5}, {'line': 7}]",1931,5,10.9188
20200530 154351 1346609715,"[[(('coderate', 4000),)], [(('coderate', 4000), ('p2p', 1))], [(('coderate', 4000), ('isp', '电信'))], [(('p2p', 1),)], [(('coderate', 4000), ('p2p', 1), ('platform', 'adr'))]]",{'coderate': 4000},1990,5,10.403144
