,predict_cause,real_cause,row,col,cost_time
case30_1119_1691592144,"[[(('line', 3.0), ('p2p', 1.0)), (('line', 5.0), ('p2p', 0.0))], [(('line', 5.0), ('p2p', 0.0))], [(('line', 5.0),)], [(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0), ('line', 3.0), ('p2p', 1.0)), (('coderate', 500.0), ('line', 3.0), ('p2p', 1.0))]]","{'line': 5, 'p2p': 0}",49,3,0.415888
case31_1119_1691592144,"[[(('coderate', 2000.0), ('p2p', 0.0))], [(('line', 5.0), ('p2p', 0.0))], [(('p2p', 0.0),)], [(('coderate', 2000.0),)], [(('line', 5.0),)]]","{'line': 5, 'p2p': 0}",50,3,0.265314
case32_1124_1860982765,"[[(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0), ('line', 5.0))], [(('coderate', 2000.0), ('p2p', 0.0))], [(('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0),)]]","{'line': 5, 'coderate': 2000, 'p2p': 0}",34,3,0.175491
case33_1206_2227875499,"[[(('coderate', 2500.0),), (('coderate', 500.0),), (('coderate', 4500.0),)], [(('coderate', 2500.0),), (('coderate', 500.0),)], [(('coderate', 2500.0),), (('coderate', 4500.0),)], [(('coderate', 2500.0),)], [(('coderate', 2500.0), ('p2p', 0.0))]]","{'coderate': 2500, 'p2p': 0}",49,3,0.394936
case34_1209_367138632,"[[(('coderate', 4000.0), ('line', 5.0)), (('coderate', 4000.0), ('line', 3.0))], [(('coderate', 4000.0),)], [(('coderate', 4000.0),), (('coderate', 2000.0),)], [(('coderate', 4000.0), ('line', 3.0))], [(('coderate', 4000.0), ('p2p', 1.0))]]",{'coderate': 4000},29,3,0.346071
case35_1103_1430972471,"[[(('coderate', 4000.0), ('p2p', 1.0))], [(('coderate', 4000.0),)], [(('coderate', 4000.0),), (('coderate', 1200.0),)], [(('p2p', 1.0),)], [(('coderate', 4000.0), ('line', 3.0), ('p2p', 1.0))]]",{'coderate': 4000},29,3,0.342082
case36_1114_679257140,"[[(('line', 5.0), ('p2p', 0.0))], [(('line', 5.0),)], [(('line', 3.0), ('p2p', 1.0)), (('line', 5.0), ('p2p', 0.0))], [(('p2p', 0.0),)], [(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))]]","{'line': 5, 'p2p': 0}",43,3,0.435793
case37_1114_1699667589,"[[(('line', 5.0), ('p2p', 0.0))], [(('line', 5.0),)], [(('line', 3.0), ('p2p', 1.0)), (('line', 5.0), ('p2p', 0.0))], [(('p2p', 0.0),)], [(('line', 5.0),), (('line', 3.0),)]]","{'line': 5, 'p2p': 0}",29,3,0.283271
case38_1114_1265329459,"[[(('line', 5.0), ('p2p', 0.0))], [(('p2p', 0.0),)], [(('line', 5.0),)], [(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0), ('line', 5.0))]]","{'line': 5, 'p2p': 0}",20,3,0.259302
case39_1116_1354160941,"[[(('coderate', 2000.0), ('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0), ('line', 5.0))], [(('coderate', 2000.0), ('p2p', 0.0))], [(('line', 5.0), ('p2p', 0.0))], [(('coderate', 2000.0),)]]","{'line': 5, 'p2p': 0, 'coderate': 2000}",51,3,0.24834
